query_id,route_id,model_version,tokens_in,tokens_out,token_f1,cloud_spend_usd,amortized_usd
nq:0001,C4,gpt-4o,115,47,1.0,0.0007574999999999999,0.0
nq:0001,L0,ollama-qwen2.5-3b,84,18,1.0,0.0,0.00020908496732026141
nq:0001,L1,ollama-qwen2.5-3b,148,11,1.0,0.0,0.0002406535947712418
nq:0002,C0,ollama-llama3.1-8b,193,36,1.0,0.0,0.00028457516339869276
nq:0002,C1,gpt-4o-mini,106,47,1.0,4.41e-05,0.0
nq:0002,C2,gpt-4o-mini,145,15,1.0,3.075e-05,0.0
nq:0002,C3,gpt-4o,161,10,1.0,0.0005025,0.0
nq:0002,C4,gpt-4o,141,27,1.0,0.0006225,0.0
nq:0002,L0,ollama-qwen2.5-3b,107,16,0.0,0.0,0.0001418300653594771
nq:0002,L1,ollama-qwen2.5-3b,96,13,0.6666666666666666,0.0,0.00037516339869281045
nq:0003,C0,ollama-llama3.1-8b,161,28,1.0,0.0,5.947712418300653e-05
nq:0003,C1,gpt-4o-mini,122,42,1.0,4.35e-05,0.0
nq:0003,C2,gpt-4o-mini,89,10,1.0,1.935e-05,0.0
nq:0003,C3,gpt-4o,95,21,1.0,0.0004475,0.0
nq:0003,C4,gpt-4o,102,46,1.0,0.000715,0.0
nq:0003,L0,ollama-qwen2.5-3b,128,39,0.6666666666666666,0.0,0.00030379084967320253
nq:0003,L1,ollama-qwen2.5-3b,169,25,0.6666666666666666,0.0,0.0002694771241830065
nq:0004,C0,ollama-llama3.1-8b,199,17,1.0,0.0,0.00038202614379084966
nq:0004,C1,gpt-4o-mini,136,15,1.0,2.9399999999999996e-05,0.0
nq:0004,C2,gpt-4o-mini,93,34,1.0,3.4349999999999995e-05,0.0
nq:0004,C3,gpt-4o,190,25,1.0,0.000725,0.0
nq:0004,C4,gpt-4o,143,38,1.0,0.0007375000000000001,0.0
nq:0004,L0,ollama-qwen2.5-3b,88,47,1.0,0.0,0.00022143790849673203
nq:0004,L1,ollama-qwen2.5-3b,172,15,1.0,0.0,0.00011163398692810455
nq:0005,C0,ollama-llama3.1-8b,188,32,1.0,0.0,0.00025437908496732023
nq:0005,C1,gpt-4o-mini,173,35,1.0,4.695e-05,0.0
nq:0005,C2,gpt-4o-mini,126,36,1.0,4.0499999999999995e-05,0.0
nq:0005,C3,gpt-4o,106,40,1.0,0.000665,0.0
nq:0005,C4,gpt-4o,117,34,1.0,0.0006325,0.0
nq:0005,L0,ollama-qwen2.5-3b,116,13,0.0,0.0,0.00011300653594771243
nq:0005,L1,ollama-qwen2.5-3b,100,35,1.0,0.0,0.0001033986928104575
nq:0006,C0,ollama-llama3.1-8b,148,13,1.0,0.0,0.0003202614379084967
nq:0006,C1,gpt-4o-mini,153,40,1.0,4.695e-05,0.0
nq:0006,C2,gpt-4o-mini,111,33,1.0,3.645e-05,0.0
nq:0006,C3,gpt-4o,97,39,1.0,0.0006325,0.0
nq:0006,C4,gpt-4o,190,29,1.0,0.0007650000000000001,0.0
nq:0006,L0,ollama-qwen2.5-3b,101,41,0.0,0.0,0.000387516339869281
nq:0006,L1,ollama-qwen2.5-3b,107,18,1.0,0.0,0.0002790849673202614
nq:0007,C0,ollama-llama3.1-8b,81,15,1.0,0.0,0.0003504575163398693
nq:0007,C1,gpt-4o-mini,88,28,1.0,3e-05,0.0
nq:0007,C2,gpt-4o-mini,87,35,1.0,3.405e-05,0.0
nq:0007,C3,gpt-4o,80,23,1.0,0.00043000000000000004,0.0
nq:0007,C4,gpt-4o,98,18,1.0,0.00042500000000000003,0.0
nq:0007,L0,ollama-qwen2.5-3b,165,34,1.0,0.0,0.00020633986928104576
nq:0007,L1,ollama-qwen2.5-3b,140,41,1.0,0.0,0.0003765359477124183
triviaqa:0000,C0,ollama-llama3.1-8b,93,37,0.6666666666666666,0.0,4.4379084967320265e-05
triviaqa:0000,C1,gpt-4o-mini,82,27,1.0,2.85e-05,0.0
triviaqa:0000,C2,gpt-4o-mini,122,38,1.0,4.11e-05,0.0
triviaqa:0000,C3,gpt-4o,90,47,1.0,0.000695,0.0
triviaqa:0000,C4,gpt-4o,92,10,1.0,0.00033,0.0
triviaqa:0000,L0,ollama-qwen2.5-3b,89,37,1.0,0.0,4.1633986928104575e-05
triviaqa:0000,L1,ollama-qwen2.5-3b,94,14,1.0,0.0,0.00014320261437908495
triviaqa:0001,C0,ollama-llama3.1-8b,108,44,1.0,0.0,0.00017751633986928103
triviaqa:0001,C1,gpt-4o-mini,150,46,1.0,5.01e-05,0.0
triviaqa:0001,C2,gpt-4o-mini,117,14,1.0,2.595e-05,0.0
triviaqa:0001,C3,gpt-4o,151,36,1.0,0.0007375000000000001,0.0
triviaqa:0001,C4,gpt-4o,150,29,1.0,0.000665,0.0
triviaqa:0001,L0,ollama-qwen2.5-3b,160,42,1.0,0.0,0.0003161437908496732
triviaqa:0001,L1,ollama-qwen2.5-3b,196,28,1.0,0.0,0.000247516339869281
triviaqa:0002,C0,ollama-llama3.1-8b,178,27,1.0,0.0,9.241830065359478e-05
triviaqa:0002,C1,gpt-4o-mini,178,23,1.0,4.0499999999999995e-05,0.0
triviaqa:0002,C2,gpt-4o-mini,124,43,1.0,4.4399999999999995e-05,0.0
triviaqa:0002,C3,gpt-4o,121,8,1.0,0.0003825,0.0
triviaqa:0002,C4,gpt-4o,171,24,1.0,0.0006675,0.0
triviaqa:0002,L0,ollama-qwen2.5-3b,114,18,0.0,0.0,0.0002571241830065359
triviaqa:0002,L1,ollama-qwen2.5-3b,85,30,1.0,0.0,0.00022555555555555553
triviaqa:0003,C0,ollama-llama3.1-8b,98,13,1.0,0.0,0.0003477124183006536
triviaqa:0003,C1,gpt-4o-mini,105,28,1.0,3.2550000000000005e-05,0.0
triviaqa:0003,C2,gpt-4o-mini,180,47,1.0,5.52e-05,0.0
triviaqa:0003,C3,gpt-4o,128,39,1.0,0.00071,0.0
triviaqa:0003,C4,gpt-4o,84,21,1.0,0.00042,0.0
triviaqa:0003,L0,ollama-qwen2.5-3b,173,24,0.0,0.0,0.00013222222222222221
triviaqa:0003,L1,ollama-qwen2.5-3b,80,28,1.0,0.0,0.00016516339869281042
triviaqa:0004,C0,ollama-llama3.1-8b,94,12,1.0,0.0,0.0003367320261437908
triviaqa:0004,C1,gpt-4o-mini,189,10,1.0,3.4349999999999995e-05,0.0
triviaqa:0004,C2,gpt-4o-mini,116,36,1.0,3.9e-05,0.0
triviaqa:0004,C3,gpt-4o,139,40,1.0,0.0007475,0.0
triviaqa:0004,C4,gpt-4o,161,34,1.0,0.0007425000000000001,0.0
triviaqa:0004,L0,ollama-qwen2.5-3b,83,23,0.0,0.0,0.0003161437908496732
triviaqa:0004,L1,ollama-qwen2.5-3b,195,32,0.6666666666666666,0.0,0.00018026143790849674
triviaqa:0005,C0,ollama-llama3.1-8b,123,35,1.0,0.0,0.00020496732026143786
triviaqa:0005,C1,gpt-4o-mini,140,29,1.0,3.84e-05,0.0
triviaqa:0005,C2,gpt-4o-mini,139,19,1.0,3.225e-05,0.0
triviaqa:0005,C3,gpt-4o,117,22,1.0,0.0005125,0.0
triviaqa:0005,C4,gpt-4o,182,37,1.0,0.000825,0.0
triviaqa:0005,L0,ollama-qwen2.5-3b,93,45,1.0,0.0,0.00016928104575163398
triviaqa:0005,L1,ollama-qwen2.5-3b,174,36,1.0,0.0,0.00033398692810457516
triviaqa:0006,C0,ollama-llama3.1-8b,141,17,1.0,0.0,0.00013222222222222221
triviaqa:0006,C1,gpt-4o-mini,196,24,1.0,4.38e-05,0.0
triviaqa:0006,C2,gpt-4o-mini,148,10,1.0,2.82e-05,0.0
triviaqa:0006,C3,gpt-4o,190,10,1.0,0.000575,0.0
triviaqa:0006,C4,gpt-4o,172,24,1.0,0.00067,0.0
triviaqa:0006,L0,ollama-qwen2.5-3b,196,31,1.0,0.0,0.00031888888888888885
triviaqa:0006,L1,ollama-qwen2.5-3b,146,8,1.0,0.0,0.0002145751633986928
